P&ID_Filename,Instrument_Tag,Instrument_Type,Description_x,Location,X_Coordinate,Y_Coordinate,Radius,Source_PID_File,Description_y
P11671-11-71-08-1708-01.pdf,ХА-573P-33-03,ХА,,Field,6378,1052,73,P11671-11-71-08-1708-01.pdf,
P11671-11-71-08-1708-01.pdf,ХА-573P-02,ХА,,Field,6618,1052,74,P11671-11-71-08-1708-01.pdf,
P11671-11-71-08-1708-01.pdf,XGA-573P-45,XGA,SOFT COMMAND FROM ICSS,Field,6878,1052,76,P11671-11-71-08-1708-01.pdf,SOFT COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,XTGA-573P-03-60,XTGA,Pump Selector Switch,Field,7138,1052,76,P11671-11-71-08-1708-01.pdf,Pump Selector Switch
P11671-11-71-08-1708-01.pdf,HS-573P-20B,HS,PUSH BUTTON,Field,7380,1052,76,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,HS-573P-20B,HS,PUSH BUTTON,Field,7380,1052,76,P11671-11-71-08-1708-01.pdf,VENTURI TUBE
P11671-11-71-08-1708-01.pdf,XMCA-573P-01,XMCA,PUSH BUTTON,Field,7622,1052,74,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,PSAL-573P-50,PSAL,PRESSURE SHUTDOWN ALARM LOW,Field,7882,1052,73,P11671-11-71-08-1708-01.pdf,PRESSURE SHUTDOWN ALARM LOW
P11671-11-71-08-1708-01.pdf,PSAL-573P-50,PSAL,PRESSURE SHUTDOWN ALARM LOW,Field,7882,1052,73,P11671-11-71-08-1708-01.pdf,QUICK EXHAUST VALVE
P11671-11-71-08-1708-01.pdf,PSAH-573P-04C,PSAH,PRESSURE SHUTDOWN ALARM HIGH,Field,5430,1058,73,P11671-11-71-08-1708-01.pdf,PRESSURE SHUTDOWN ALARM HIGH
P11671-11-71-08-1708-01.pdf,PSAH-573P-04C,PSAH,PRESSURE SHUTDOWN ALARM HIGH,Field,5430,1058,73,P11671-11-71-08-1708-01.pdf,PUMP STROKE COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,PSAL-573P-07,PSAL,PRESSURE SHUTDOWN ALARM LOW,Field,5912,1088,76,P11671-11-71-08-1708-01.pdf,PRESSURE SHUTDOWN ALARM LOW
P11671-11-71-08-1708-01.pdf,PSAL-573P-07,PSAL,PRESSURE SHUTDOWN ALARM LOW,Field,5912,1088,76,P11671-11-71-08-1708-01.pdf,QUICK EXHAUST VALVE
