Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
1,6654,1132,55,О,"[(34, 42), (158, 44), (156, 153), (32, 151)]"
2,7494,362,55,FO,"[(82, 81), (128, 81), (128, 108), (82, 108)]"
3,7494,528,55,PCV,"[(66, 85), (134, 84), (134, 112), (66, 113)]"
4,7494,670,55,HV,"[(78, 83), (125, 84), (124, 113), (77, 112)]"
5,7494,824,55,PSV,"[(67, 84), (132, 84), (132, 112), (67, 112)]"
6,7494,1300,55,FG,"[(78, 86), (124, 86), (124, 113), (78, 113)]"
7,6650,1792,55,TE,"[(76, 84), (117, 84), (117, 111), (76, 111)]"
10,6654,1288,54,TCV,"[(66, 89), (131, 89), (131, 117), (66, 117)]"
11,7494,976,54,FV,"[(81, 82), (123, 82), (123, 109), (81, 109)]"
12,7494,1136,54,M,"[(84, 86), (112, 86), (112, 114), (84, 114)]"
13,7518,2350,54,Ө,"[(157, 157), (35, 155), (37, 44), (159, 46)]"
15,3836,3594,34,"-8,20","[(0, 43), (72, 43), (72, 73), (0, 73)]"
15,3836,3594,34,2,"[(6, 88), (25, 89), (24, 115), (5, 114)]"
15,3836,3594,34,mm,"[(34, 88), (86, 90), (85, 116), (33, 114)]"
16,1324,3216,59,NOTE,"[(54, 4), (141, 5), (141, 35), (54, 34)]"
16,1324,3216,59,-,"[(145, 5), (156, 5), (156, 34), (145, 34)]"
16,1324,3216,59,8,"[(155, 5), (173, 5), (173, 34), (155, 34)]"
16,1324,3216,59,TAL,"[(75, 68), (132, 68), (132, 95), (75, 95)]"
16,1324,3216,59,B063B,"[(10, 128), (142, 119), (144, 152), (12, 161)]"
16,1324,3216,59,TSET,"[(8, 182), (90, 182), (90, 210), (8, 210)]"
16,1324,3216,59,=,"[(90, 182), (108, 182), (108, 210), (90, 210)]"
16,1324,3216,59,16,"[(112, 182), (145, 182), (145, 210), (112, 210)]"
16,1324,3216,59,°,"[(147, 182), (159, 182), (159, 210), (147, 210)]"
16,1324,3216,59,C,"[(170, 182), (193, 182), (193, 210), (170, 210)]"
17,2176,6366,58,SET,"[(0, 157), (0, 95), (29, 95), (29, 157)]"
17,2176,6366,58,=,"[(0, 93), (0, 76), (29, 76), (29, 93)]"
17,2176,6366,58,1.03,"[(0, 70), (0, 10), (29, 10), (29, 70)]"
17,2176,6366,58,PDAH,"[(49, 64), (140, 64), (140, 95), (49, 95)]"
17,2176,6366,58,046B,"[(57, 123), (134, 122), (134, 151), (57, 152)]"
17,2176,6366,58,ONE,"[(204, 123), (152, 123), (152, 92), (204, 92)]"
18,3606,3618,59,LAL,"[(76, 56), (136, 58), (135, 90), (75, 88)]"
18,3606,3618,59,NO,"[(184, 60), (211, 61), (211, 92), (183, 91)]"
18,3606,3618,59,SE,"[(176, 108), (211, 104), (211, 136), (179, 140)]"
18,3606,3618,59,026,"[(76, 117), (130, 112), (133, 144), (79, 149)]"
19,3838,3772,35,-820,"[(0, 52), (71, 51), (72, 82), (0, 83)]"
19,3838,3772,35,51,"[(0, 97), (20, 98), (19, 125), (0, 125)]"
19,3838,3772,35,mm,"[(34, 98), (84, 99), (83, 125), (33, 125)]"
20,3612,3794,59,LALL,"[(61, 53), (145, 62), (142, 98), (57, 89)]"
20,3612,3794,59,NO,"[(178, 66), (211, 71), (211, 107), (174, 102)]"
20,3612,3794,59,026,"[(71, 119), (128, 119), (128, 147), (71, 147)]"
20,3612,3794,59,SE,"[(172, 117), (211, 117), (211, 147), (172, 147)]"
22,1386,1668,34,18,"[(49, 51), (76, 51), (76, 79), (49, 79)]"
23,4190,2892,58,TI,"[(80, 67), (110, 67), (110, 96), (80, 96)]"
23,4190,2892,58,245A,"[(55, 122), (136, 121), (136, 151), (55, 152)]"
23,4190,2892,58,NOTE,"[(175, 167), (175, 79), (204, 79), (204, 167)]"
23,4190,2892,58,-,"[(175, 76), (175, 65), (204, 65), (204, 76)]"
23,4190,2892,58,8,"[(175, 67), (175, 49), (204, 49), (204, 67)]"
24,4628,240,58,NOTE,"[(0, 173), (0, 82), (29, 82), (28, 173)]"
24,4628,240,58,-,"[(0, 82), (0, 70), (28, 70), (28, 82)]"
24,4628,240,58,8,"[(0, 71), (0, 51), (28, 51), (28, 71)]"
24,4628,240,58,PAH,"[(63, 66), (128, 66), (128, 94), (63, 94)]"
24,4628,240,58,050B,"[(57, 122), (134, 122), (134, 151), (57, 151)]"
25,5814,2852,55,0,"[(69, 42), (170, 54), (158, 152), (57, 139)]"
27,1140,1668,58,NOTE,"[(55, 4), (142, 5), (141, 36), (55, 35)]"
27,1140,1668,58,-,"[(145, 6), (156, 6), (156, 36), (145, 36)]"
27,1140,1668,58,8,"[(155, 6), (174, 6), (174, 36), (155, 36)]"
27,1140,1668,58,PALL,"[(66, 69), (145, 69), (145, 97), (66, 97)]"
27,1140,1668,58,049B,"[(67, 126), (143, 126), (143, 154), (67, 154)]"
28,1336,446,35,9367,"[(47, 44), (119, 44), (119, 71), (47, 71)]"
28,1336,446,35,ΝΟ,"[(73, 107), (122, 108), (121, 125), (72, 125)]"
