Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
0,2264,5094,76,PI,"[(63, 17), (92, 17), (92, 43), (63, 43)]"
0,2264,5094,76,298P,"[(40, 61), (110, 61), (110, 87), (40, 87)]"
0,2264,5094,76,23,"[(59, 101), (93, 101), (93, 127), (59, 127)]"
1,7080,4420,76,TIT,"[(51, 15), (99, 15), (99, 42), (51, 42)]"
1,7080,4420,76,298P,"[(39, 59), (110, 57), (111, 84), (40, 86)]"
1,7080,4420,76,05,"[(58, 100), (93, 100), (93, 126), (58, 126)]"
1,7080,4420,76,50,"[(60, 87), (87, 88), (86, 142), (59, 141)]"
2,6330,4180,76,TE,"[(57, 15), (94, 15), (94, 41), (57, 41)]"
2,6330,4180,76,298P,"[(39, 59), (110, 59), (110, 86), (39, 86)]"
2,6330,4180,76,06,"[(58, 100), (94, 100), (94, 126), (58, 126)]"
3,1334,2874,76,TE,"[(57, 16), (95, 16), (95, 42), (57, 42)]"
3,1334,2874,76,298P,"[(40, 60), (110, 60), (110, 86), (40, 86)]"
3,1334,2874,76,07,"[(59, 101), (94, 101), (94, 126), (59, 126)]"
4,3000,4014,76,PI,"[(62, 17), (93, 17), (93, 43), (62, 43)]"
4,3000,4014,76,298P,"[(40, 61), (109, 62), (109, 89), (40, 88)]"
4,3000,4014,76,21,"[(58, 102), (90, 102), (90, 127), (58, 127)]"
5,6464,4088,76,TIT,"[(53, 16), (100, 16), (100, 44), (53, 44)]"
5,6464,4088,76,298P,"[(40, 62), (111, 61), (111, 87), (40, 88)]"
5,6464,4088,76,06,"[(59, 103), (94, 103), (94, 129), (59, 129)]"
5,6464,4088,76,90,"[(90, 93), (90, 151), (61, 151), (61, 93)]"
6,6674,4164,76,FZT,"[(49, 17), (106, 16), (106, 43), (49, 44)]"
6,6674,4164,76,298P,"[(41, 61), (110, 62), (110, 89), (41, 88)]"
6,6674,4164,76,01,"[(59, 102), (91, 102), (91, 128), (59, 128)]"
7,6862,4378,76,PIT,"[(52, 17), (99, 17), (99, 43), (52, 43)]"
7,6862,4378,76,298P,"[(40, 61), (109, 62), (109, 89), (40, 88)]"
7,6862,4378,76,10,"[(61, 103), (92, 103), (92, 128), (61, 128)]"
8,7364,4420,73,FT,"[(55, 13), (93, 13), (93, 39), (55, 39)]"
8,7364,4420,73,298P,"[(36, 58), (106, 58), (106, 84), (36, 84)]"
8,7364,4420,73,01,"[(54, 98), (87, 98), (87, 123), (54, 123)]"
9,7874,1720,76,HIC,"[(51, 25), (100, 25), (100, 52), (51, 52)]"
9,7874,1720,76,298P,"[(40, 72), (111, 72), (111, 98), (40, 98)]"
9,7874,1720,76,01,"[(59, 108), (89, 108), (89, 135), (59, 135)]"
10,824,2342,76,CVZT,"[(35, 17), (114, 17), (114, 44), (35, 44)]"
10,824,2342,76,298P,"[(39, 61), (110, 61), (110, 87), (39, 87)]"
10,824,2342,76,01,"[(57, 102), (89, 102), (89, 128), (57, 128)]"
11,6082,4162,76,PI,"[(62, 16), (93, 16), (93, 42), (62, 42)]"
11,6082,4162,76,298P,"[(40, 61), (111, 62), (111, 88), (40, 87)]"
11,6082,4162,76,19,"[(60, 102), (92, 102), (92, 127), (60, 127)]"
12,1238,5874,76,TE,"[(56, 16), (95, 16), (95, 42), (56, 42)]"
12,1238,5874,76,298P,"[(38, 60), (108, 59), (108, 86), (38, 87)]"
12,1238,5874,76,08,"[(57, 100), (91, 100), (91, 126), (57, 126)]"
12,1238,5874,76,80,"[(86, 91), (86, 148), (61, 148), (61, 91)]"
13,2266,940,74,TI,"[(60, 22), (88, 22), (88, 49), (60, 49)]"
13,2266,940,74,298P,"[(38, 67), (109, 68), (109, 95), (38, 94)]"
13,2266,940,74,08,"[(56, 106), (90, 106), (90, 133), (56, 133)]"
14,2490,940,74,SZIH,"[(41, 20), (109, 21), (109, 47), (41, 46)]"
14,2490,940,74,298P,"[(38, 68), (110, 68), (110, 94), (38, 94)]"
14,2490,940,74,04,"[(57, 105), (91, 105), (91, 132), (57, 132)]"
15,2836,970,74,ХА,"[(50, 20), (97, 20), (97, 48), (50, 48)]"
15,2836,970,74,298P,"[(37, 67), (107, 66), (107, 93), (37, 94)]"
15,2836,970,74,02,"[(56, 105), (90, 105), (90, 132), (56, 132)]"
16,3886,970,74,SZIH,"[(40, 21), (108, 21), (108, 47), (40, 47)]"
16,3886,970,74,298P,"[(37, 68), (109, 68), (109, 94), (37, 94)]"
16,3886,970,74,08,"[(56, 105), (90, 105), (90, 132), (56, 132)]"
17,6634,970,74,ΤΙ,"[(61, 21), (88, 21), (88, 49), (61, 49)]"
17,6634,970,74,298P,"[(39, 67), (109, 68), (109, 96), (39, 95)]"
17,6634,970,74,04,"[(56, 106), (91, 106), (91, 132), (56, 132)]"
18,7170,626,74,ΡΙ,"[(61, 20), (89, 20), (89, 48), (61, 48)]"
18,7170,626,74,298P,"[(37, 69), (108, 70), (108, 96), (37, 95)]"
18,7170,626,74,10,"[(58, 106), (90, 106), (90, 131), (58, 131)]"
19,3854,3490,73,PIT,"[(50, 12), (96, 11), (96, 37), (50, 38)]"
19,3854,3490,73,298P,"[(38, 55), (109, 56), (109, 83), (38, 82)]"
19,3854,3490,73,14,"[(58, 98), (91, 98), (91, 122), (58, 122)]"
20,5700,580,76,PSAH,"[(36, 23), (116, 23), (116, 48), (36, 48)]"
20,5700,580,76,298P,"[(41, 70), (111, 70), (111, 96), (41, 96)]"
20,5700,580,76,05C,"[(48, 108), (105, 108), (105, 134), (48, 134)]"
21,6432,970,74,SZIH,"[(40, 21), (108, 21), (108, 47), (40, 47)]"
21,6432,970,74,298P,"[(37, 68), (109, 68), (109, 95), (37, 95)]"
21,6432,970,74,03,"[(56, 105), (89, 105), (89, 132), (56, 132)]"
22,1236,938,74,ZIL,"[(52, 20), (99, 21), (98, 49), (51, 48)]"
22,1236,938,74,298P,"[(38, 69), (108, 69), (108, 95), (38, 95)]"
22,1236,938,74,01,"[(56, 107), (88, 107), (88, 133), (56, 133)]"
23,1418,640,74,XGA,"[(40, 20), (108, 20), (108, 48), (40, 48)]"
23,1418,640,74,298P,"[(38, 68), (108, 68), (108, 93), (38, 93)]"
23,1418,640,74,01,"[(55, 106), (87, 106), (87, 132), (55, 132)]"
24,6574,3954,76,TW,"[(52, 17), (99, 17), (99, 42), (52, 42)]"
24,6574,3954,76,298P,"[(40, 59), (111, 60), (111, 88), (40, 87)]"
24,6574,3954,76,06,"[(58, 101), (93, 101), (93, 127), (58, 127)]"
25,3030,968,73,ХА,"[(50, 18), (96, 18), (96, 47), (50, 47)]"
25,3030,968,73,298P,"[(37, 68), (108, 68), (108, 95), (37, 95)]"
25,3030,968,73,31,"[(58, 105), (89, 105), (89, 130), (58, 130)]"
26,3174,3288,75,PIT,"[(50, 14), (97, 14), (97, 40), (50, 40)]"
26,3174,3288,75,298P,"[(36, 59), (107, 59), (107, 85), (36, 85)]"
26,3174,3288,75,16,"[(58, 98), (89, 97), (89, 124), (58, 125)]"
27,2656,592,73,PI,"[(59, 21), (88, 21), (88, 47), (59, 47)]"
27,2656,592,73,298P,"[(36, 69), (107, 69), (107, 94), (36, 94)]"
27,2656,592,73,17,"[(57, 106), (87, 106), (87, 131), (57, 131)]"
28,6076,2388,75,PI,"[(61, 15), (92, 15), (92, 41), (61, 41)]"
28,6076,2388,75,298P,"[(38, 60), (110, 59), (110, 86), (38, 87)]"
28,6076,2388,75,20,"[(58, 100), (93, 100), (93, 125), (58, 125)]"
29,3398,5748,75,CC,"[(51, 14), (93, 14), (93, 39), (51, 39)]"
29,3398,5748,75,298P,"[(36, 58), (107, 58), (107, 85), (36, 85)]"
29,3398,5748,75,01,"[(55, 98), (88, 98), (88, 126), (55, 126)]"
30,3698,970,74,SZIL,"[(43, 20), (107, 21), (107, 49), (43, 48)]"
30,3698,970,74,298P,"[(37, 66), (109, 67), (109, 94), (37, 93)]"
30,3698,970,74,05,"[(56, 105), (90, 105), (90, 131), (56, 131)]"
31,3022,2732,76,PI,"[(63, 17), (92, 17), (92, 43), (63, 43)]"
31,3022,2732,76,298P,"[(40, 60), (112, 61), (112, 89), (40, 88)]"
31,3022,2732,76,24,"[(58, 103), (94, 103), (94, 128), (58, 128)]"
32,6538,580,76,SZIL,"[(44, 23), (108, 24), (108, 51), (44, 50)]"
32,6538,580,76,298P,"[(39, 71), (110, 71), (110, 97), (39, 97)]"
32,6538,580,76,03,"[(57, 108), (90, 108), (90, 135), (57, 135)]"
33,6762,580,76,TI,"[(63, 24), (92, 24), (92, 51), (63, 51)]"
33,6762,580,76,298P,"[(40, 70), (110, 69), (110, 96), (40, 97)]"
33,6762,580,76,05,"[(58, 109), (93, 109), (93, 135), (58, 135)]"
33,6762,580,76,90,"[(61, 98), (87, 98), (86, 151), (60, 151)]"
34,7626,626,73,FQI,"[(50, 20), (100, 20), (100, 47), (50, 47)]"
34,7626,626,73,298P,"[(37, 68), (108, 68), (108, 94), (37, 94)]"
34,7626,626,73,01,"[(55, 105), (89, 105), (89, 131), (55, 131)]"
35,7266,970,73,FI,"[(62, 21), (91, 21), (91, 47), (62, 47)]"
35,7266,970,73,298P,"[(36, 68), (109, 68), (109, 94), (36, 94)]"
35,7266,970,73,01,"[(55, 106), (87, 106), (87, 132), (55, 132)]"
