Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
23,4894,3384,74,02,"[(56, 100), (93, 100), (93, 126), (56, 126)]"
24,1676,1052,74,XI,"[(57, 21), (91, 21), (91, 48), (57, 48)]"
24,1676,1052,74,573P,"[(37, 68), (109, 68), (109, 95), (37, 95)]"
24,1676,1052,74,14,"[(58, 107), (92, 107), (92, 131), (58, 131)]"
25,2136,1052,74,PSAH,"[(33, 21), (114, 22), (114, 49), (33, 48)]"
25,2136,1052,74,573P,"[(37, 69), (109, 69), (109, 96), (37, 96)]"
25,2136,1052,74,47,"[(55, 107), (90, 108), (90, 132), (55, 131)]"
26,692,1052,74,HS,"[(54, 21), (94, 21), (94, 47), (54, 47)]"
26,692,1052,74,573P,"[(37, 68), (109, 68), (109, 95), (37, 95)]"
26,692,1052,74,30B,"[(47, 106), (100, 106), (100, 132), (47, 132)]"
27,6878,1052,76,XGA,"[(43, 21), (112, 22), (112, 50), (43, 49)]"
27,6878,1052,76,573P,"[(39, 70), (111, 70), (111, 96), (39, 96)]"
27,6878,1052,76,45,"[(57, 109), (93, 109), (93, 133), (57, 133)]"
28,7138,1052,76,XTGA,"[(32, 23), (120, 23), (120, 50), (32, 50)]"
28,7138,1052,76,573P,"[(39, 70), (111, 70), (111, 96), (39, 96)]"
28,7138,1052,76,03,"[(58, 108), (95, 108), (95, 133), (58, 133)]"
28,7138,1052,76,60,"[(59, 145), (58, 83), (90, 83), (91, 145)]"
29,7380,1052,76,HS,"[(56, 23), (97, 23), (97, 49), (56, 49)]"
29,7380,1052,76,573P,"[(38, 70), (112, 69), (112, 95), (38, 96)]"
29,7380,1052,76,20B,"[(49, 108), (102, 108), (102, 134), (49, 134)]"
30,2400,2364,76,SVHO,"[(31, 23), (117, 23), (117, 50), (31, 50)]"
30,2400,2364,76,573P,"[(38, 71), (111, 71), (111, 97), (38, 97)]"
30,2400,2364,76,02,"[(56, 109), (94, 109), (94, 135), (56, 135)]"
31,4166,1854,76,XGAB,"[(29, 28), (121, 29), (121, 59), (29, 58)]"
31,4166,1854,76,573P,"[(36, 80), (116, 80), (116, 108), (36, 108)]"
31,4166,1854,76,.01,"[(49, 118), (91, 118), (91, 148), (49, 148)]"
31,4166,1854,76,.,"[(98, 118), (102, 118), (102, 148), (98, 148)]"
32,4582,3240,76,TIT,"[(52, 14), (100, 13), (100, 42), (52, 43)]"
32,4582,3240,76,573P,"[(38, 59), (110, 57), (111, 85), (39, 87)]"
32,4582,3240,76,01,"[(57, 98), (88, 97), (89, 126), (58, 127)]"
33,4988,4420,76,PIT,"[(51, 15), (97, 15), (97, 41), (51, 41)]"
33,4988,4420,76,573P,"[(37, 60), (110, 59), (110, 86), (37, 87)]"
33,4988,4420,76,04A,"[(46, 100), (105, 100), (105, 127), (46, 127)]"
34,3192,1052,74,SVZA,"[(33, 18), (112, 20), (111, 48), (32, 46)]"
34,3192,1052,74,573P,"[(36, 69), (109, 69), (109, 95), (36, 95)]"
34,3192,1052,74,03,"[(54, 105), (89, 105), (89, 132), (54, 132)]"
35,4762,3280,76,TW,"[(51, 16), (99, 16), (99, 41), (51, 41)]"
35,4762,3280,76,573P,"[(38, 59), (111, 58), (111, 85), (38, 86)]"
35,4762,3280,76,01,"[(56, 100), (91, 100), (91, 126), (56, 126)]"
36,1480,1052,74,ХА,"[(51, 21), (99, 21), (99, 48), (51, 48)]"
36,1480,1052,74,573P,"[(37, 67), (109, 66), (109, 94), (37, 95)]"
36,1480,1052,74,35,"[(56, 105), (90, 105), (90, 131), (56, 131)]"
37,6928,1834,76,XTGD,"[(29, 14), (118, 14), (118, 42), (29, 42)]"
37,6928,1834,76,573P,"[(38, 59), (111, 58), (112, 86), (39, 87)]"
37,6928,1834,76,02,"[(56, 100), (93, 100), (93, 126), (56, 126)]"
38,5438,514,74,PSAH,"[(32, 21), (113, 21), (113, 47), (32, 47)]"
38,5438,514,74,573P,"[(36, 69), (108, 69), (108, 95), (36, 95)]"
38,5438,514,74,04A,"[(46, 106), (103, 107), (103, 134), (46, 133)]"
39,5430,1058,73,PSAH,"[(31, 21), (112, 21), (112, 47), (31, 47)]"
39,5430,1058,73,573P,"[(36, 69), (108, 69), (108, 95), (36, 95)]"
39,5430,1058,73,04C,"[(44, 106), (101, 107), (101, 133), (44, 132)]"
40,3802,2358,73,SVHO,"[(27, 18), (117, 18), (117, 46), (27, 46)]"
40,3802,2358,73,573P,"[(35, 67), (109, 66), (109, 92), (35, 93)]"
