Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
104,5004,4434,75,A,"[(105, 94), (131, 94), (131, 125), (105, 125)]"
105,6432,3618,74,TT,"[(52, 27), (96, 27), (96, 57), (52, 57)]"
105,6432,3618,74,5740,"[(20, 89), (94, 89), (94, 121), (20, 121)]"
105,6432,3618,74,A,"[(104, 89), (129, 89), (129, 121), (104, 121)]"
106,8400,1990,73,XHS,"[(36, 26), (106, 26), (106, 56), (36, 56)]"
106,8400,1990,73,9711,"[(18, 86), (92, 85), (93, 118), (19, 119)]"
106,8400,1990,73,A,"[(102, 85), (127, 85), (128, 117), (103, 117)]"
107,6058,5686,75,ST,"[(54, 29), (98, 29), (98, 57), (54, 57)]"
107,6058,5686,75,7775,"[(21, 89), (97, 90), (96, 124), (20, 123)]"
107,6058,5686,75,D,"[(109, 91), (133, 91), (132, 124), (108, 124)]"
107,6058,5686,75,/,"[(131, 91), (149, 91), (149, 124), (130, 124)]"
108,6448,5508,75,SE,"[(54, 27), (98, 27), (98, 56), (54, 56)]"
108,6448,5508,75,7775,"[(0, 89), (62, 88), (62, 121), (0, 122)]"
108,6448,5508,75,A,"[(74, 89), (94, 89), (94, 121), (74, 121)]"
108,6448,5508,75,/,"[(93, 89), (106, 89), (106, 121), (93, 121)]"
108,6448,5508,75,B,"[(108, 89), (125, 89), (125, 121), (108, 121)]"
108,6448,5508,75,/,"[(127, 88), (137, 88), (137, 120), (127, 120)]"
108,6448,5508,75,C,"[(138, 88), (149, 88), (149, 120), (138, 120)]"
109,7174,3004,75,PI,"[(61, 29), (94, 29), (94, 57), (61, 57)]"
109,7174,3004,75,3730,"[(39, 91), (115, 91), (115, 118), (39, 118)]"
110,5400,3266,76,TI,"[(61, 30), (92, 30), (92, 59), (61, 59)]"
110,5400,3266,76,5741,"[(39, 91), (111, 92), (111, 121), (39, 120)]"
111,7642,4082,73,XY,"[(49, 28), (99, 28), (99, 57), (49, 57)]"
111,7642,4082,73,7778/7779,"[(0, 89), (145, 89), (145, 118), (0, 118)]"
112,1314,4846,75,PY,"[(51, 31), (99, 31), (99, 58), (51, 58)]"
112,1314,4846,75,3051,"[(21, 92), (89, 92), (89, 121), (21, 121)]"
112,1314,4846,75,A,"[(103, 92), (130, 92), (130, 121), (103, 121)]"
113,6632,5690,75,ST,"[(54, 25), (99, 26), (98, 55), (54, 54)]"
113,6632,5690,75,7775,"[(21, 88), (97, 89), (97, 118), (21, 117)]"
113,6632,5690,75,C,"[(107, 88), (132, 88), (132, 117), (107, 117)]"
114,8008,4096,75,PG,"[(52, 30), (100, 30), (100, 58), (52, 58)]"
114,8008,4096,75,4799,"[(36, 92), (112, 93), (112, 121), (36, 120)]"
116,7410,2496,75,HS,"[(51, 33), (97, 33), (97, 61), (51, 61)]"
116,7410,2496,75,7112R,"[(26, 92), (126, 94), (125, 125), (25, 123)]"
116,7410,2496,75,/,"[(133, 94), (149, 94), (149, 124), (132, 124)]"
117,7506,2132,75,HS,"[(53, 30), (100, 30), (100, 58), (53, 58)]"
117,7506,2132,75,9017,"[(7, 90), (78, 90), (78, 122), (7, 122)]"
117,7506,2132,75,A,"[(89, 90), (114, 90), (114, 121), (89, 121)]"
117,7506,2132,75,/,"[(106, 90), (122, 90), (122, 121), (106, 121)]"
117,7506,2132,75,B,"[(123, 90), (144, 90), (144, 121), (123, 121)]"
118,6256,5508,75,SE,"[(56, 27), (101, 28), (100, 57), (55, 56)]"
118,6256,5508,75,7775,"[(8, 89), (82, 89), (82, 119), (8, 119)]"
118,6256,5508,75,D,"[(93, 89), (115, 89), (115, 118), (93, 118)]"
118,6256,5508,75,/,"[(113, 89), (125, 89), (125, 118), (113, 118)]"
118,6256,5508,75,E,"[(127, 89), (148, 89), (148, 118), (127, 118)]"
120,8346,5930,64,GA,"[(0, 10), (121, 8), (123, 122), (1, 124)]"
120,8346,5930,64,:,"[(118, 8), (127, 8), (127, 122), (120, 122)]"
121,9162,578,68,ק,"[(113, 129), (113, 127), (122, 127), (122, 129)]"
122,9244,6872,64,0-30,"[(0, 41), (127, 41), (127, 91), (0, 91)]"
123,8978,6668,70,0-0,"[(0, 43), (139, 42), (139, 97), (0, 98)]"
