Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
31,3500,396,52,143,"[(0, 19), (61, 18), (61, 45), (0, 46)]"
31,3500,396,52,LPI,"[(0, 145), (56, 143), (57, 170), (0, 172)]"
31,3500,396,52,PI,"[(74, 56), (110, 56), (110, 84), (74, 84)]"
32,3768,268,51,PAL,"[(61, 64), (111, 64), (111, 89), (61, 89)]"
33,782,786,51,PSY,"[(59, 63), (125, 62), (125, 89), (59, 90)]"
33,782,786,51,8507/11,"[(48, 97), (178, 88), (180, 121), (50, 130)]"
33,782,786,51,HTS,"[(9, 163), (77, 162), (77, 181), (9, 181)]"
34,646,1914,48,TI,"[(69, 51), (104, 52), (103, 78), (68, 77)]"
34,646,1914,48,65101,"[(51, 84), (164, 80), (165, 107), (52, 111)]"
35,938,2390,48,123,"[(9, 5), (70, 5), (70, 31), (9, 31)]"
35,938,2390,48,POT,"[(58, 50), (107, 50), (107, 76), (58, 76)]"
35,938,2390,48,واقي,"[(52, 98), (113, 98), (113, 129), (52, 129)]"
35,938,2390,48,LP2,"[(89, 137), (153, 137), (153, 164), (89, 164)]"
36,2044,1940,48,POI,"[(59, 44), (111, 45), (110, 71), (59, 70)]"
36,2044,1940,48,3511,"[(52, 91), (120, 91), (120, 122), (52, 122)]"
36,2044,1940,48,149,"[(129, 25), (171, 25), (171, 50), (129, 50)]"
36,2044,1940,48,LP,"[(121, 113), (171, 112), (171, 143), (122, 144)]"
37,490,2506,52,PI,"[(77, 58), (111, 58), (111, 84), (77, 84)]"
37,490,2506,52,3509,"[(62, 105), (126, 105), (126, 130), (62, 130)]"
39,3978,1552,56,PRESSUR,"[(43, 19), (199, 19), (199, 46), (43, 46)]"
39,3978,1552,56,OR,"[(0, 52), (27, 51), (28, 85), (0, 86)]"
39,3978,1552,56,FILLED,"[(41, 51), (175, 48), (176, 82), (42, 85)]"
39,3978,1552,56,OIL,"[(41, 85), (107, 85), (107, 112), (41, 112)]"
39,3978,1552,56,RUN,"[(130, 85), (197, 85), (197, 112), (130, 112)]"
39,3978,1552,56,THE,"[(43, 119), (106, 120), (106, 145), (43, 144)]"
39,3978,1552,56,FILI,"[(131, 119), (199, 120), (199, 146), (131, 145)]"
39,3978,1552,56,BEFORE,"[(42, 152), (173, 152), (173, 180), (42, 180)]"
39,3978,1552,56,S,"[(188, 152), (199, 152), (199, 179), (188, 179)]"
41,1946,2980,44,O,"[(0, 34), (15, 34), (15, 61), (0, 61)]"
